VSCVER_ID,TRIP_NO,TRIP_ID,START_PLACE,END_PLACE,START_TIME,END_TIME
156670,248545015,22224528,IrvBwy,IrvCum,841500,878700
156670,248545016,22224532,IrvBwy,IrvCum,878700,917400
156670,248545017,22224541,IrvBwy,IrvCum,959400,996600
156670,248545018,22224551,IrvBwy,IrvCum,1054500,1089600
156670,248545019,22224534,IrvBwy,IrvCum,897300,935100
156670,248545020,22224521,IrvBwy,IrvCum,773100,805800
156670,248545021,22224540,IrvBwy,IrvCum,950100,987900
156670,248545022,22224544,IrvBwy,IrvCum,987300,1024500
156670,248545023,22224542,IrvBwy,IrvCum,968700,1005900
156670,248545024,22224531,IrvBwy,IrvCum,869400,908100
156670,248545025,22224550,IrvBwy,IrvCum,1044900,1080000
156670,248545026,22224524,IrvBwy,IrvCum,803700,840000
156670,248545027,22224522,IrvBwy,IrvCum,783600,818700
156670,248545028,22224530,IrvBwy,IrvCum,860100,898800
156670,248545029,22224538,IrvBwy,IrvCum,932700,970500
156670,248545030,22224529,IrvBwy,IrvCum,850800,888600
156672,248546175,22224171,IrvBwy,FprHar,667500,690300
156672,248546180,22224179,IrvBwy,FprHar,610500,632100
156672,248546182,22224182,IrvBwy,IrvCum,727800,756300
156672,248546183,22224257,IrvBwy,IrvCum,1057800,1089000
156672,248546185,22224235,IrvBwy,IrvCum,972900,1006800
156672,248546187,22224218,IrvBwy,IrvCum,886500,921000
156672,248546189,22224199,IrvBwy,IrvCum,805800,838200
156672,248546193,22224191,IrvBwy,IrvCum,751200,779700
156672,248546197,22224172,IrvBwy,FprHar,691800,714600
156672,248546198,22224178,IrvBwy,FprHar,626400,648000
156672,248546199,22224300,IrvBwy,IrvCum,1136700,1165800
156672,248546203,22224201,IrvBwy,IrvCum,823800,856200
156672,248546204,22224228,IrvBwy,IrvCum,912000,947700
156672,248546205,22224165,IrvBwy,FprHar,641400,663000
156672,248546207,22224250,IrvBwy,IrvHar,995400,1025400
156672,248546212,22224212,IrvBwy,IrvCum,850800,883200
156672,248546213,22224173,IrvBwy,IrvCum,703800,729600
156672,248546215,22224231,IrvBwy,IrvCum,935400,969600
156672,248546217,22224196,IrvBwy,IrvCum,774600,804600
156672,248546222,22224306,IrvBwy,IrvCum,1100100,1131000
156672,248546223,22224278,IrvBwy,FprHar,1237500,1261800
156672,248546226,22224253,IrvBwy,IrvCum,1018500,1051200
156672,248546227,22224290,IrvBwy,FprHar,1175400,1199700
156672,248546229,22224167,IrvBwy,FprHar,654900,676800
156672,248546230,22224266,IrvBwy,IrvHar,1303200,1324500
156672,248546231,22224233,IrvBwy,IrvCum,957900,992100
156672,248546236,22224183,IrvBwy,IrvCum,715800,744000
156672,248546237,22224197,IrvBwy,IrvCum,785400,815700
156672,248546239,22224255,IrvBwy,IrvCum,1041900,1073100
156672,248546242,22224216,IrvBwy,IrvCum,868800,903300
156672,248546246,22224175,IrvBwy,FprHar,679800,702600
156672,248546247,22224286,IrvBwy,FprHar,1195800,1220100
156672,248546248,22224302,IrvBwy,IrvCum,1118100,1147200
156672,248546249,22224190,IrvBwy,IrvCum,739500,768000
156672,248546251,22224276,IrvBwy,IrvHar,1258500,1280400
156672,248546256,22224200,IrvBwy,IrvCum,814800,847200
156672,248546257,22224227,IrvBwy,IrvCum,903900,939600
156672,248546259,22224259,IrvBwy,IrvCum,1074000,1105200
156672,248546260,22224267,IrvBwy,IrvHar,1291500,1313400
156672,248546263,22224239,IrvBwy,IrvCum,987900,1021500
156672,248546264,22224294,IrvBwy,IrvCum,1155600,1183200
156672,248546266,22224279,IrvBwy,FprHar,1227000,1251300
156672,248546267,22224232,IrvBwy,IrvCum,942900,977100
156672,248546275,22224304,IrvBwy,IrvCum,1109100,1138200
156672,248546276,22224215,IrvBwy,IrvCum,859800,893400
156672,248546277,22224288,IrvBwy,FprHar,1185600,1209900
156672,248546280,22224254,IrvBwy,IrvCum,1026300,1058700
156672,248546281,22224265,IrvBwy,IrvCen,1315200,1330200
156672,248546283,22224277,IrvBwy,FprHar,1248000,1271700
156672,248546289,22224198,IrvBwy,IrvCum,795600,826500
156672,248546291,22224256,IrvBwy,IrvCum,1049700,1080900
156672,248546293,22224271,IrvBwy,FprHar,1269000,1291500
156672,248546294,22224217,IrvBwy,IrvCum,877800,912300
156672,248546296,22224283,IrvBwy,FprHar,1206000,1230300
156672,248546298,22224234,IrvBwy,IrvCum,965400,999300
156672,248546299,22224299,IrvBwy,IrvCum,1127400,1156500
156672,248546301,22224226,IrvBwy,IrvCum,895200,929700
156672,248546302,22224264,IrvBwy,IrvCen,1327800,1342800
156672,248546303,22224258,IrvBwy,IrvCum,1065900,1097100
156672,248546307,22224238,IrvBwy,IrvCum,980400,1014000
156672,248546313,22224298,IrvBwy,IrvCum,1146000,1175100
156672,248546314,22224281,IrvBwy,FprHar,1216500,1240800
156672,248546316,22224269,IrvBwy,IrvHar,1280100,1302000
156672,248546319,22224211,IrvBwy,IrvCum,841800,874200
156672,248546321,22224230,IrvBwy,IrvCum,927600,961800
156672,248546322,22224195,IrvBwy,IrvCum,762900,791400
156672,248546326,22224252,IrvBwy,IrvCum,1010700,1043700
156672,248546330,22224229,IrvBwy,IrvCum,919800,954000
156672,248546331,22224210,IrvBwy,IrvCum,832800,865200
156672,248546333,22224308,IrvBwy,IrvCum,1091100,1122300
156672,248546334,22224292,IrvBwy,IrvHar,1165500,1189200
156672,248546337,22224251,IrvBwy,IrvCum,1002900,1036200
156672,248546342,22224310,IrvBwy,IrvHar,1082400,1110300
156672,248546345,22224334,IrvBwy,IrvHar,1034100,1062600
156672,248546346,22224332,IrvBwy,IrvCum,950400,984600
